arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
;;;;;Mo;cap.;;;;;Sagua la Grande gol. amer. M. C. Moseley, cap. Mo;amer.;M. C. Moseley;;;gol.;1871_04_08;Sagua la Grande;;
;;;;;Boker;cap.;;;;;Farland _ Cárdenas berg. amor. John Freeman, cap. Boker;;John Freeman;;;berg.;1871_04_08;Cárdenas;;
;;;;;;;;;;;Sagua la Grando berg. am. S. V. Merrick, cap. Lippincott -Valencia barca esp. Adonis, cap. Madrid -Baltimore barca ainer. D. Chapin, cap. Rose -Caibarion berg. amer. Alberts, cap. Harriman -Génova barca esp l'epits, cap. Pol -Cárdenas gol. amer. Nictor, cap. Drer -Baltimore berg. ing, Cheviot, cap. Whitney;;;;;;1871_04_08;;;
Día 7:;;;;;Towen;cap.;;;;;Dia 7 New York berg. ing. Boasie, cap. Towen New Orleans, via Sagua, barca ing. Torryburn, cap.;ing.;Boasie;;;berg.;1871_04_08;New York;;
;;;;;Hanley;cap.;;;;;Copo -New York berg. ing. Watter Lilly, cap. Hanley;ing.;Watter Lilly;;;berg.;1871_04_08;New York;;
Día 14:;;N/A:  | N/A:  | N/A: ;;;Rich;cap.;;;;;Filadelfia en 14 dias berg. am. J. H. Kennedy, cap. Rich, ton. 225, con efectos, & M. Moll y cp.;am.;J. H. Kennedy;;;berg.;1871_04_09;Filadelfia;;
Día 50:;;;;;Allen;cap.;;;;;Génova en 50 dias gol. ing. Alarm, cap. Allen, ton.;ing.;Alarm;;;gol.;1871_04_09;Génova;;
Día 14:;;N/A:  | N/A: ;;;Loriog;cap.;;;;;150, con mercancías, & Mathias Hno. - N. York on 14 dias gol. am. Ruth II. Baker, cap. Loriog, ton. 250, con adoquines y efectos, á J. Torres y;am.;Ruth II;;;gol.;1871_04_09;N. York;;
Día 52:;;N/A:  | N/A:  | N/A: ;;;Easton;cap.;;;;;- Liverpool en 52 dias berg. gol. log. Stella, cap. Easton, tons. 445, con carbon, & Sobrinos de Samá y Carreras. _ Canarlas en 34 dias frag. esp. Gran Canarias, cap.;gol.;Stella;;;berg.;1871_04_09;Liverpool;;
Día 55:;;N/A:  | N/A: ;;;Cibilo;cap.;;;;;Neyra, tons. 360, en lastre, á la órden.-Pasags. 40. - Barcelona en 55 dias corb. esp. Tesoria, cap. Cibilo,;esp.;Tesoria;;;corb.;1871_04_09;Barcelona;;
Día 45:;;;;;;cap.;;;;;-Barcelona en 45 dias berg. cap. Nuevo Sabino, cap.;;Nuevo Sabino;;;berg.;1871_04_09;Barcelona;;
Dia 8:;;;;;Agui ro;cap.;;;;;Dia 8: Para San Sebastian berg. esp. Cinta, cap. Agui ro.;esp.;Cinta;;;berg.;1871_04_09;;;
;;;;;Van Sice;cap.;;;;;-Falmouth, via Sagua, berg. cap. Salvador, cap. Gastañaga. _N. Yo:k vap. am. Columbia, cap. Van Sice.;am.;Columbia;;;berg.;1871_04_09;Falmouth;;
Día :;;;;;;cap.;;;;;Dia : De Filadelfia en 10 dias berg. an. Ocean Belle, cap.;;Ocean Belle;;;berg.;1871_04_11;Filadelfia;;
Día 56:;;N/A: ;;;Zaracondegui;cap.;;;;;-Barcelona en 56 dias berg. eap. Julfo, cap. Zaracondegui, ton, 252, con frutos, á J. Prats y cp. -Portland en 22 dias berg. am. Nimwaukee, cap. Wiswell, ton. 310, con cortes de caja, á F. K. Sowers.;eap.;Julfo;;;berg.;1871_04_11;Barcelona;;
;;;;;Pujol;cap.;;;;;-Barcelona berg. esp, Jóven Gavina, cap. Pujol.;esp;Jóven Gavina;;;berg.;1871_04_11;Barcelona;;
;;;;;Sendagorta;cap.;;;;;-San Sebastian berg. esp. Oria, cap. Sendagorta.;esp.;Oria;;;berg.;1871_04_11;San Sebastian;;
;;;;;Silfvius;cap.;;;;;-Tlacotalpa berg. ruso Olga, cap. Silfvius.;ruso;Olga;;;berg.;1871_04_11;Tlacotalpa;;
Día 10:;;;;;Goodsell;cap.;;;;;Dia 10. De Nassan en 2 dias gol. amer. Aretarus, cap. Goodsell,;amer.;Aretarus;;;gol.;1871_04_12;Nassan;;
Día 10:;;;;;;cap.;;;;;comp. _ Filadelfia en 10 dias gol. am. Lizzio Batchelor, cap.;am.;Lizzio Batchelor;;;gol.;1871_04_12;Filadelfia;;
Día 48:;;;;;Valle;cap.;;;;;-Gijon en 48 dias berg. esp. Etelvina, cap. Valle, ton.;esp.;Etelvina;;;berg.;1871_04_12;Gijon;;
Día 10:;;;;;Bocker;cap.;;;;;Dia 10 Para Cayo Hueso gol. hond? Indio, cap. Bocker;hond?;Indio;;;gol.;1871_04_12;Cayo Hueso;;
Día 12:;;N/A:  | N/A: ;;;Pennington;cap.;;;;;Dia 12. Ds Cayo Hueso en un dia vap. am. Havana, cap. Pennington, ton. 420, con efectos á Lawton hnos.-Pageros 25. -New Orleans en 3 dias vap. germ. Hannover, cap.;am.;Havana;;;vap.;1871_04_13;Cayo Hueso;;
Día 16:;;N/A: ;;;Petora;cap.;;;;;-Boston en 10 dias berg. am. John Avila, cep Petora, ton. 170, con viveres. á Lawton Hs. _ Wiscasset on 16 dias berg. gol. am. Tempest, cap.;am.;John Avila;;;berg.;1871_04_13;Boston;;
;;;;;Sapera;cap.;;;;;-New-Orleans pol. esp. Magdalens, cap. Sapera.;esp.;Magdalens;;;pol.;1871_04_13;New Orleans;;
;;;;;Dwyer;cap.;;;;;-Cárdenas berg. ing. Ellen II., cap. Dwyer.;ing.;Ellen II.;;;berg.;1871_04_13;Cárdenas;;
;;;;;Goodsoll;cap.;;;;;-Nassan gol. ain. Areturns, cap. Goodsoll.;;ain. Areturns;;;gol.;1871_04_13;Nassan;;
Día 6:;;N/A: ;;;Hoxie;cap.;;;;;tose. 511, con guano á Zangroniz. _ Filadelfia en 6 dias vap. amor. Juniata, cap. Hoxie,;;Juniata;;;vap.;1871_04_14;Filadelfia;;
;;;;;;cap.;;;;;-Sonthantony Bremen vap. germ. Hannover, cap.;germ.;Hannover;;;vap.;1871_04_14;Bremen;;
Día 14:;;;;;Anderson;op.;;;;;SALIDAS. Dia 14: Para Liverpool berg. norg. Frey, op. Anderson ad -Boston gol. ing. Annie E. cp.;norg.;Frey;;;berg.;1871_04_15;Liverpool;;
;;;;;Bradley;cap.;;;;;Sierra Morena berg. amer. Geo S. Berry, cap. Bradley.;amer.;Sierra Morena;;;berg.;1871_04_15;;;
Día 6:;;;;;Dosserray;cap.;;;;;Mobila en 6 dias gol. am. Afonewa, cap. Dosserray,;am.;Afonewa;;;gol.;1871_04_18;Mobila;;
;;;;;Trafton;cap.;;;;;"New York berg. ing."" Victoria, cap. Trafton.";ing.;Victoria;;;berg.;1871_04_19;New York;;
;;;;;;cap.;;;;;-Queenstown, via Sagua, frag. ing. Caledonia, cap.;ing.;Caledonia;;;frag.;1871_04_19;Queenstown;;
Día 53:;;;;;;;;;;;-Buenos Aires y Matanzas on 53 dias berg. gol. esp.;esp.;;;;berg.;1871_04_20;Buenos Aires y Matanzas;;
;;;;;Fisk;cap.;;;;;Filadelia gol. am. M. A. Fisk, cap. Fisk;am.;M. A. Fisk;;;gol.;1871_04_20;Filadelia;;
;;;;;Mc Yacharn;cap.;;;;;Barcelona berg. ing. Marcela, cap. Mc Yacharn;ing.;Marcela;;;berg.;1871_04_20;Barcelona;;
;;N/A: ;;;Timmerman;cap.;;;;;Mexico, cap. Timmerman, tons. 1400, con efectos, &;;;;;;1871_04_21;Mexico;;
;;;;;Font;cap.;;;;;-Charleston pol. esp. Jóven Maris, cap. Font.;esp.;Jóven Maris;;;pol.;1871_04_21;Charleston;;
;;;;;;;;;;;De Veracruz y Sisil, en el vapor amoricano CITY OF MEXICO:;amoricano;CITY OF MEXICO;;;vapor;1871_04_21;Veracruz y Sisil;;
Día 74:;;N/A:  | N/A: ;;;Segor;cap.;;;;;-Cádiz y Matanzas en 74 días pol. gol. esp. Revolucion, cap. Segor, ton. 168, con frutos, R. Morales.;esp.;Revolucion;;;pol.;1871_04_22;Cádiz y Matanzas;;
;;;;;;cap.;;;;;SALIDAS. Para Mallorca y el extranjero pol. esp. Frasquita, cap.;esp.;Frasquita;;;pol.;1871_04_22;Mallorca;;
;;;;;;cap.;;;;;Mota. _ Norte de Cabo Hatteras berg. am. Long Reach, cap.;am.;Long Reach;;;berg.;1871_04_22;Norte de Cabo Hatteras;;
;;;;;Cobins;cap.;;;;;-Sierra Morena gol. amer. Emma Green, cap. Cobins.;amer.;Emma Green;;;gol.;1871_04_22;Sierra Morena;;
Día 7:;;N/A:  | N/A: ;;;Azqueta;tap.;;;;;Sisal en 7 dias pol. esp. Dos Magdalenas, tap. Azqueta tons. 177, con efectos, & Llannza y cp.;esp.;Dos Magdalenas;;;pol.;1871_04_23;Sisal;;
Día 55:;;N/A: ;;;Guardiola;cap.;;;;;Liverpool on 55 dias corb. esp. Catalina, cap. Guardiola, tons. 400, con efectos, a Fe ser y cp. -New Port on 52 dias frag. norg. Bjorntraa, cap. Danielsen, tons. 420, con oarbon, a Fesser y cp.;esp.;Catalina;;;corb.;1871_04_23;Liverpool;;
Día 18:;;;;;Davis;cap.;;;;;-Portland en 18 dias gol. am. Segain, cap. Davis, ton.;am.;Segain;;;gol.;1871_04_25;Portland;;
Día 26:;;;;;;cap.;;;;;-St. John (N. B) en 26 dias berg. ing. Aylesford, cap.;ing.;Aylesford;;;berg.;1871_04_25;St. John (N. B);;
Día 15:;;N/A:  | N/A:  | N/A:  | N/A: ;;;Schate;copitan;;;;;ston en 15 dias berg. gol. am. J. II. Lano, copitan Schate: ton. 355, con hielo 4 Tudor y cp.;am.;J. II. Lano;;;berg.;1871_04_25;ston;;
Día 23:;;;;;Llorca;cap.;;;;;Dia 23. Para Trujillo gol. esp. Pepilla, cap. Llorca.;esp.;Pepilla;;;gol.;1871_04_25;;;
;;;;;Perez;cap.;;;;;-Cádiz gol. cap. Oriolana, cap. Perez. -Matanzas berg. ing. Camille, cap. Strout.;;Oriolana;;;gol.;1871_04_25;Cádiz;;
;;;;;Teglund;cap.;;;;;New York berg. succo Framat, cap. Teglund.;;succo Framat;;;berg.;1871_04_25;New York;;
Dia 25:;;;;;Sin Qaintin;cap.;;;;;Dia 25: Para Savannah berg. cap. Sin Qaintin, ep. Uuibaso;;Uuibaso;;;berg.;1871_04_26;Savannah;;
Día 17:;;N/A: ;;;York;cap.;;;;;"-N. York en 13 dias berg. am. Mattie B. Russell; cap. York, ton. 262, con efectos, á la órden. -St. John (N. B.) on 17 dias berg. ing. Mand Potter,";am.;Mattie B. Russell;;;berg.;1871_04_27;N. York;;
Día 3:;;N/A:  | N/A:  | N/A: ;;;Albiznri;cap.;;;;;N. Orleans en 3 diay vap. esp. Juan, cap. Albiznri, ton. 475, con algodon, de tránsito, & N. Deulofeu.-De arribada para hacer carbon y sigue para Liverpool.;esp.;Juan;;;vap.;1871_04_27;N. Orleans;;
;;;;;;;;;;;De N. Orleans, en el vapor am. JUNIATA:;am.;JUNIATA;;;vapor;1871_04_27;N. Orleans;;
;;;;;Catharine;cap.;;;;;N. Orleans vap. am. Yazoo, cap. Catharine.;am.;Yazoo;;;vap.;1871_04_27;N. Orleans;;
;;;;;Alegria;cap.;;;;;Matanzas berg. esp. Bat, cap. Alegria.;esp.;Bat;;;berg.;1871_04_27;Matanzas;;
;;;;;Aldamis;cap.;;;;;Matanzas berg. esp. Tomás cap. Aldamis.;esp.;Tomás;;;berg.;1871_04_27;Matanzas;;
Día 19:;;N/A:  | N/A: ;;;Bennis;cap.;;;;;Fesser y C -New York en 19 dias berg. amor. Havana, cap. Bennis, tons. 271, con efectos, á F. K. Sowers.;;amor.;;;berg.;1871_04_28;New York;;
Día 22:;;;;;;cap.;;;;;Herrera-Pasaja. 01. _ l'ortland on 22 dias berg. gol. amer. C. H. Kennedy,;amer.;C. H. Kennedy;;;berg.;1871_04_28;Herrera-Pasaja;;
Día 15:;;N/A: ;;;Hardy;cap.;;;;;cap. Dodge, ton. 166, con cfestos, á Zaldo y comp --New York on 15 dias berg. amor. Powers, cap. Hardy, ton. 200, con efectos, à Torros y comp;;Powers;;;berg.;1871_04_28;New York;;
Día 27:;;;;;Portals;cap.;;;;;Dia 27 Para Barcelona berg. esp. Juanito, cap. Portals.;esp.;Juanito;;;berg.;1871_04_28;Barcelona;;
;;;;;Valle;cap.;;;;;Gijon berg. gol. esp. Etelvina, cap. Valle.;esp.;Etelvina;;;berg.;1871_04_28;Gijon;;
;;;;;Diaz;cap.;;;;;-Gijon pol. esp. Flora, cap. Diaz.;esp.;Flora;;;pol.;1871_04_28;Gijon;;
;;;;;Fano;cap.;;;;;Gijon berg. esp. Pepó, cap. Fano.;esp.;Pepó;;;berg.;1871_04_28;Gijon;;
;;;;;Kock;cap.;;;;;New York berg. norg? Collega, cap. Kock.;;Collega;;;berg.;1871_04_28;New York;;
;;;;;MaB;cap.;;;;;New Orleans frag. esp. Arauco, cap. MaB.;esp.;Arauco;;;frag.;1871_04_28;New Orleans;;
Día 55:;;;;;White;cap.;;;;;A Lawton II-Pasag. 12. - Cardiff on 55 dias berg. am. Agenora, cap. White,;am.;Agenora;;;berg.;1871_04_29;Cardiff;;
Día 13:;;N/A: ;;;M. Gil;cap.;;;;;ton. 470, con carbon de piedra, M. Gil. -New York en 13 dias berg. am. Nellie Clifford, cap.;am.;Nellie Clifford;;;berg.;1871_04_29;New York;;
Dia 2:;;;;;Riberol;cap.;;;;;Dia 2: Para Canarias berg. esp. Dolores, cap. Riberol. _ Falmouth boa. succa Catharina, cap. Hultein.;esp.;Dolores;;;berg.;1871_04_29;Canarias;;
;;;;;Cook;cap.;;;;;-Baltimore berg. ing. Wolfville, cap. Cook.;ing.;Wolfville;;;berg.;1871_04_29;Baltimore;;
;;;;;Wilson;cap.;;;;;-Matanzas berg. am. Tempest, cap. Wilson.;am.;Tempest;;;berg.;1871_04_29;Matanzas;;
;;;;;Eano;cap.;;;;;-Coruña y el extranjero frag. esp. Sofia, cap. Eano.;esp.;Sofia;;;frag.;1871_04_29;-Coruña;;
Día 17:;;N/A: ;;;;cap.;;;;;cap. York, tons. 294, con bocoyes vacíos, & J. Carricabaru. _ Baltimore en 17 dias gol. amer. William Wilson. cap.;amer.;William Wilson;;;gol.;1871_04_30;Baltimore;;
;;N/A: ;;;Doane;cap.;;;;;Ida E., cap. Doane, tons. 371, con cortes de caja, &;;Ida E.;;;;1871_04_30;;;
;;N/A: ;;;Domati;cap.;;;;;cap. Domati, tons. 100, con café, à la órden.;;;;;tons.;1871_04_30;;;
;;;;;Fariol;cap.;;;;;Cádiz berg. esp. Miguel, cap. Fariol.;esp.;Miguel;;;berg.;1871_04_30;Cádiz;;
;;;;;Dnrall;cap.;;;;;-Charleston pol. eap. Bella Dolores, cap. Dnrall.;;Bella Dolores;;;pol.;1871_04_30;Charleston;;
;;;;;Pennington;cap.;;;;;-N. Orleans vap. amer. Havana, cap. Pennington.;amer.;Havana;;;vap.;1871_04_30;N. Orleans;;
;;;;;Riestra;cap.;;;;;-Liverpool y Coruña vap. eap. Rita, cap. Riestra.;;Rita;;;vap.;1871_04_30;Liverpool;;
;;;;;Azqueta;cap.;;;;;-Sisal pol. esp. Da Magdalenas. cap. Azqueta.;esp.;Da Magdalenas;;;pol.;1871_04_30;;;
;;;;;Joan;cap.;;;;;-Liverpool vap. cap. Joan, cap. Albizury.;;;;;vap.;1871_04_30;Liverpool;;
Día 1:;;N/A: ;;;;cap.;;;;;Fegarty, ton. 42, con pesca lo vive, & Y. Carabia _ Filadelfia on 1s dias berg. amer. II S. Bishop. cap.;amer.;II S. Bishop;;;berg.;1871_05_02;Filadelfia;;
Día cu:;;;;;Rayo;cap.;;;;;Trinidad cu dias berg. cap. T.inidad, cap. Rayo.;;T.inidad;;;berg.;1871_05_02;Trinidad;;
;;N/A: ;;;Romero;cap.;;;;;ten. 196, con cabotaja, & A. Serpa y comp _ Casiz en 42 is frag. cap. Nueva Burrera, cap. Romero, ton, 213, con fintos, á A. Serpa y comp-Paɛa|;;Casiz;;;frag.;1871_05_02;Nueva Burrera;;
Día 1:;;;;;Moran;cap.;;;;;Avilés en 1 dias berg. esp. Francisca, cap. Moran,;esp.;Francisca;;;berg.;1871_05_02;Avilés;;
Día 10:;;;;;;cap.;;;;;-Baltimore en 10 dias berg. gol. amer. Addie Hale,;gol.;Addie Hale;;;berg.;1871_05_02;Baltimore;;
;;;;;Marti;cap.;;;;;Cádiz pol. esp. Corvantes, cap. Marti.;esp.;Corvantes;;;pol.;1871_05_02;Cádiz;;
;;;;;Netto;cap.;;;;;Barcelona vap. esp. Maria, cap. Netto.;esp.;Maria;;;vap.;1871_05_02;Barcelona;;
;;;;;Maristany;cap.;;;;;-Barcelona pol. csp Eduviges, cap. Maristany.;;Eduviges;;;pol.;1871_05_02;Barcelona;;
;;;;;Picornell;cap.;;;;;-Barcelona pol. esp Panchita, cap. Picornell.;esp;Panchita;;;pol.;1871_05_02;Barcelona;;
;;;;;Neyrı;cap.;;;;;-Canarias frag. cap. Gran Canaria, cap. Neyrı.;;;;;frag.;1871_05_02;Canarias;;
;;;;;Lopez;cap.;;;;;-Vigo pol. cp. Resolucion. cap. Lopez.;;Resolucion;;;pol.;1871_05_02;Vigo;;
;;;;;Alchurra;cap.;;;;;Bilbao berg. esp Teres ta. cap. Alchurra.;esp;Teres ta;;;berg.;1871_05_02;Bilbao;;
;;;;;;cap.;;;;;New York berg. francés Architecte Renaud, cap.;francés;Architecte Renaud;;;berg.;1871_05_02;New York;;
;;;;;Gabriela;cap.;;;;;Montevideo y Buenos Aires pol. cap. Gabriela, cap.;;;;;pol.;1871_05_02;Montevideo y Buenos Aires;;
;;;;;Primɔs;cap.;;;19-05-2023;;Mayo 19 Para Falmouth frag. cap. Primɔs, cap. Anduiza.;;;;;frag.;1871_05_02;;;
Día 21:;;;;;;cap.;;;;;-Boston en 21 dias berg. amer. Lucy W. Snow, cap.;amer.;Lucy W. Snow;;;berg.;1871_05_03;Boston;;
Día XX:;;;;;;cap.;;;01-05-XXXX;;Mayo 1* Para Montevideo, via Matanzas, berg. esp. Miguel, cap.;esp.;Miguel;;;berg.;1871_05_03;Matanzas;;
;;;;;Raimundo;cap.;;;;;Mareelia berg. cap. Raimundo, cap. Capelo.;;Mareelia;;;berg.;1871_05_03;;;
;;;;;Guptili;cap.;;;;;Caso Hueso vivero am. Lantaro, cap. Stratch:of --Sagua la Grando berg. am. I boaias Owen, cap. Guptili.;am.;I boaias Owen;;;berg.;1871_05_03;Sagua la Grando;;
Día 3:;;;;;Dukehart;cap.;;;;;N. Oricans on 3 dias vap. am. Coba, cap. Dukehart,;am.;Coba;;;vap.;1871_05_04;N. Oricans;;
;;;;;Bradley;cap.;;;;;X. Yok berg. ara. George S. Forry, cap. Bradley,;;George S. Forry;;;berg.;1871_05_04;X. Yok;;
;;N/A:  | N/A: ;;;Berga;ep.;;;;;tou, 1015, con efectos á Zaldo y cp.-Pasajeros 1. - Gibara en 4 dias berg. esp. Joren Mariano, ep. Berga, tou. 120, con cabotajo á J. Rafecaa.-Pasajeros 1. - - Boston en 15 dias bea. am. E. 1. Yarrington, cap.;esp.;Joren Mariano;;;berg.;1871_05_05;Gibara;;
;;N/A: ;;;Vidal;cap.;;;;;Aros, cap. Vidal, tons. 626, con frutos, á J. Llanoza;;;;;;1871_05_06;;;
;;;;;Afo Lard;cap.;;;;;New York berg. Ing. Koodoo, cap. Afo Lard.;Ing.;Koodoo;;;berg.;1871_05_06;New York;;
Día 6:;;N/A: ;;;Reed;cap.;;;;;Baltimore y Cayo Hueso en 6 dias vap. ant. Liberty, cap. Reed, ton. 1230, con efectos á R. O. Wilfama Pasag 38. - Baenca Aires y Matanzas en 1 dia del último, berg.;;Liberty;;;vap.;1871_05_09;Baltimore y Cayo Hueso;;
Día 21:;;N/A: ;;;Gatas;cap.;;;;;New Orleans en 21 dias vap. am. Victor, cap. Gatas. ton. 723, con efectos á D. Mc Kellar.;am.;Victor;;;vap.;1871_05_09;New Orleans;;
Día 24:;;N/A: ;;;Catharine;cap.;;;;;Now-Orleans en 24 dias vap. am. Yazoo, cap. Catharine, ton. 1020, coa efectos á G. Neilson.-Pasag. 32.;am.;Yazoo;;;vap.;1871_05_09;Now-Orleans;;
;;;;;Phillips;cap.;;;;;-Now York vap. amor. Cleopatra, cap. Phillips.;;amor. Cleopatra;;;vap.;1871_05_09;Now York;;
;;;;;Kennedy;cap.;;;;;-Filadelfia berg. amer. John II. Kennedy, cap. Roch.;amer.;John II;;;berg.;1871_05_09;Filadelfia;;
;;;;;Dissaway;cap.;;;;;Shephard. - Sagua la Grando gol. amer. Menaws, cap. Dissaway.;amer.;Menaws;;;gol.;1871_05_09;Sagua la Grando;;
;;;;;Soull;cap.;;;;;Sagna la Grande gol. amer. Maggie Cain, cap. Soull.;amer.;Maggie Cain;;;gol.;1871_05_09;Sagna la Grande;;
Día 22:;;N/A: ;;;Gillet;cap.;;;;;en 22 dias vap. franc. Guadeloupe, cap. Gillet, tons;franc.;Guadeloupe;;;vap.;1871_05_10;;;
;;N/A:  | N/A:  | N/A: ;;;Crescencia;cap.;;;;;1,200, con efectos, á Caio, hermanos y Watson.-PaFageros 72. _ Barcelona en CO dias bea. cap. Crescencia, cap. Alegia, tons. 193, con frutos, á J. Torros y ep. -Abéres on 47 dias ca. cap. Mannel, cap. Aurrococchea, tone. 433, con mercancias, & L. Will y op;;;;;bea.;1871_05_10;Barcelona;;
;;;;;;cap.;;;;;-Sierra Morena en dias gol. amer. Emma Green, cap.;amer.;Emma Green;;;gol.;1871_05_10;Sierra Morena;;
Día 18:;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Erozuma;cap.;;;;;Liverpool on 18 dias vapor esp. Gracia, cap. Erozuma, tons. 165, con carga general, & N Deulofen. - New Orleans en 3 dias vap, gorm. Holm, cap. Franke, tons. 1321, con efectos á 1. Upmann yer-Pasajeros 7 y 195 de tránsito;esp.;Gracia;;;vapor;1871_05_10;Liverpool;;
;;;;;Mc Donald;cap.;;;;;Din 9. Para Boston berg. ing. Mc Stewart, cap. Mc Donald.;ing.;Mc Stewart;;;berg.;1871_05_10;Din;;
;;;;;York;cap.;;;;;-Serra Morena berg. amer. Gipsey Queen, cap. York.;amer.;Gipsey Queen;;;berg.;1871_05_10;;;
;;;;;Proctor;cap.;;;;;-Caibarien gol. amer. Quango, cap. Proctor.;amer.;Quango;;;gol.;1871_05_10;Caibarien;;
;;;;;Giliet;cap.;;;;;Veracruz vap. franc. Guadeloune, cap. Giliet.;franc.;Guadeloune;;;vap.;1871_05_10;Veracruz;;
;;;;;Barre;cap.;;;;;Now Orleans vap. germ. Frankfurt, cap. Barre.;germ.;Frankfurt;;;vap.;1871_05_10;Now Orleans;;
;;;;;Reed;cap.;;;;;New Orleans vap. am. Liberty, cap. Reed.;am.;Liberty;;;vap.;1871_05_10;New Orleans;;
;;;;;Lairauri;cap.;;;;;-Amberes berg. esp. Los Amigos, cap. Lairauri.;esp.;Los Amigos;;;berg.;1871_05_11;Amberes;;
Día 49:;;N/A: ;;;Onzain;cap.;;;;;Dial: De Santander en 49 dias bea. eap. Paquet de Cantaria, cap. Onzain, ton. 249, con harina, á J. de la Portilla. - Mobila en 6 dias gol. amer. Northern Light, cap.;amer.;Paquet de Cantaria;;;bea.;1871_05_12;Santander;;
Día i:;;;;;Ormachee;cap.;;;;;Pelegrin. - Matanzas en i dia berg. esp. Alicia, cap. Ormachee,;esp.;Alicia;;;berg.;1871_05_12;Matanzas;;
;;N/A: ;;;Vogto;cap.;;;;;cap. Vogto tons. 387, con carbon, a Gil.;;;;;;1871_05_12;;;
Día 11:;;;;;Collins;cap.;;;;;Ia 11: Para Filadelfia gol. amer. Emma Green. cap. Collins.;amer.;Emma Green;;;gol.;1871_05_12;Filadelfia;;
;;N/A: ;;;Paredes;cap.;;;;;Sra. del Carmen, cap. Paredes, tons. 174, con fratos,;;Sra. del Carmen;;;;1871_05_13;;;
;;;;;Smith;cap.;;;;;Sierra Morena berg. ing. Posle, cap. Smith.;ing.;Posle;;;berg.;1871_05_13;;;
;;;;;Handy;cap.;;;;;-Cárdenas berg. amer. Ponvert, cap. Handy.;amer.;Ponvert;;;berg.;1871_05_14;Cárdenas;;
;;;;;Barceló;cap.;;;;;Nuovitas pol. esp. Margarita, cap. Barceló..;esp.;Margarita;;;pol.;1871_05_14;Nuovitas;;
Dia 15:;;N/A: ;;;Deaken;can.;;;;;Dia 15: _ Veracruz y Sisal en 4 dias vap. amer. City of Merids, can. Deaken, tons. 1,500, con efectos, á Zaldo y;amer.;City of Merids;;;vap.;1871_05_16;Veracruz y Sisal;;
Día 56:;;N/A: ;;;Arrotogni;cap.;;;;;cp.-l'assgs. 47. - Liverpool en 56 dias frag. oep Alfrodo, cap. Arrotogni, 10n8, 262, con morcancias, A N. Deulofea.;;Alfrodo;;;frag.;1871_05_16;Liverpool;;
Día 61:;;N/A:  | N/A: ;;;Borotan;cap.;;;;;-Buoncs Aires cu 66 dias bcs. sp. Talia, cap Borotan, tons. 401, con tasajo, á I. Gassol y cp. -Barcelona en 61 dian bea. eap. América, cap. Manda;sp.;Talia;;;bcs.;1871_05_16;Buoncs Aires;;
;;N/A: ;;;Sorá;cap.;;;;;esp. Dolores, cap. Sorá, tons. 92, con frutos, & la;esp.;Dolores;;;;1871_05_16;;;
Día 52:;;;;;San Matco;cap.;;;;;Palma de Malloroa en 52 dias berg. cap. San Matco,;;;;;berg.;1871_05_16;Palma de Malloroa;;
;;;;;;cap.;;;;;Snellman -Barcelona y el extranjero berg. eap. Trinidad, cap.;;Trinidad;;;berg.;1871_05_16;Barcelona;;
;;N/A:  | N/A: ;;;BerFr;cap.;;;;;-Filadelfia on 2 dias berg. am Ella Maria, cap. BerFr. tons. 209, can bacalao á Carricaburu, - N. York on 21 dias berg. am. H. II. Bright, cap. Meyers, tons. 107, con efectos, á Lawton Hs. - St. John (N. B.) en 25 dias pail. am. Florenco Shay,;am;Ella Maria;;;berg.;1871_05_17;Filadelfia;;
;;N/A:  | N/A: ;;;Coombs;cap.;;;;;cap. Coombs, tons. 240, con cortes, & Mojarrista y;;;;;;1871_05_17;;;
Dia 16:;;;;;Andrea;cap.;;;;;Dia 16: Para Copenhagne frag. danesa Rota, cap. Andrea.;danesa;Rota;;;frag.;1871_05_17;Copenhague;;
;;;;;Hoxie;cap.;;;;;N. Orleans vap. am. Juniata. cap. Hoxie.;am.;Juniata;;;vap.;1871_05_17;N. Orleans;;
Día 33:;;N/A:  | N/A: ;;;;cap.;;;;;Chase, tone. 180, con naderas, & Zaldo y Ca --St. John (N. B.). en 33 dias. berg. ing. Robin, cap.;ing.;Robin;;;berg.;1871_05_18;St. John (N. B.);;
Día 13:;;N/A: ;;;RusBell;cap.;;;;;wers. - Caso Hueso, en 13 dias, pall. am. Frank, cap. RusBell, tons. 100, con ganado vacuno, á S. C. Burnham.;am.;Frank;;;pall.;1871_05_18;;;
Día 23:;;N/A:  | N/A:  | N/A: ;;;Finger;cap.;;;;;Didler, ton. 615, en lastre.-Conduce 332 colonos asiáticos -New York en 23 dias berg. inglés Liona, cap. Finger. ton. 299, con duelas, á Zaido y op,;ing.;Liona;;;berg.;1871_05_18;New York;;
;;;;;Davis;cap.;;;;;-Filadelfia, gol. am. Seguin, cap. Davis.;am.;Seguin;;;gol.;1871_05_18;Filadelfia;;
;;;;;Gaza;cap.;;;;;-Savanah, berg. esp. Lealtad, cap. Gaza.;esp.;Lealtad;;;berg.;1871_05_18;Savanah;;
